시도명,시군구명,읍면동명,민원일자_월,꼬리물기_건수,불법유턴_건수,불법좌회전_건수,신호위반_건수,역주행_건수,정지선침범_건수,중앙선침범_건수,지정차로위반_건수,진로변경방법위반_건수
강원특별자치도,강릉시,강동면,2월,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
강원특별자치도,강릉시,강동면,4월,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
강원특별자치도,강릉시,강동면,5월,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
강원특별자치도,강릉시,강동면,6월,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
강원특별자치도,강릉시,강동면,7월,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
강원특별자치도,강릉시,강동면,8월,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
강원특별자치도,강릉시,강동면,9월,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
강원특별자치도,강릉시,강문동,1월,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
강원특별자치도,강릉시,강문동,3월,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
강원특별자치도,강릉시,강문동,4월,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
강원특별자치도,강릉시,강문동,5월,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
강원특별자치도,강릉시,강문동,7월,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0
강원특별자치도,강릉시,강문동,10월,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
강원특별자치도,강릉시,강문동,11월,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
강원특별자치도,강릉시,강문동,12월,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
강원특별자치도,강릉시,견소동,1월,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
강원특별자치도,강릉시,견소동,3월,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
강원특별자치도,강릉시,견소동,5월,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
강원특별자치도,강릉시,견소동,6월,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
강원특별자치도,강릉시,견소동,9월,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
강원특별자치도,강릉시,교동,1월,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0
강원특별자치도,강릉시,교동,2월,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
강원특별자치도,강릉시,교동,3월,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0
강원특별자치도,강릉시,교동,4월,2.0,2.0,1.0,9.0,0.0,3.0,2.0,0.0,2.0
강원특별자치도,강릉시,교동,5월,0.0,2.0,5.0,10.0,1.0,4.0,1.0,1.0,2.0
강원특별자치도,강릉시,교동,6월,0.0,0.0,3.0,5.0,0.0,3.0,1.0,1.0,4.0
강원특별자치도,강릉시,교동,7월,0.0,0.0,1.0,3.0,3.0,2.0,3.0,0.0,2.0
강원특별자치도,강릉시,교동,8월,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0
강원특별자치도,강릉시,교동,9월,0.0,1.0,4.0,6.0,0.0,6.0,1.0,0.0,2.0
강원특별자치도,강릉시,교동,10월,1.0,0.0,2.0,9.0,0.0,1.0,4.0,1.0,3.0
강원특별자치도,강릉시,교동,11월,0.0,2.0,1.0,4.0,0.0,1.0,2.0,0.0,1.0
강원특별자치도,강릉시,교동,12월,0.0,0.0,1.0,4.0,1.0,2.0,2.0,0.0,1.0
강원특별자치도,강릉시,구정면,7월,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
강원특별자치도,강릉시,남문동,4월,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
강원특별자치도,강릉시,남문동,5월,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
강원특별자치도,강릉시,남문동,6월,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
강원특별자치도,강릉시,남문동,11월,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
강원특별자치도,강릉시,내곡동,1월,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
강원특별자치도,강릉시,내곡동,4월,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
강원특별자치도,강릉시,내곡동,5월,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
강원특별자치도,강릉시,내곡동,6월,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
강원특별자치도,강릉시,내곡동,8월,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
강원특별자치도,강릉시,내곡동,9월,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
강원특별자치도,강릉시,내곡동,11월,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
강원특별자치도,강릉시,내곡동,12월,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
강원특별자치도,강릉시,노암동,1월,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원특별자치도,강릉시,노암동,3월,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
강원특별자치도,강릉시,노암동,4월,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
강원특별자치도,강릉시,노암동,5월,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
강원특별자치도,강릉시,노암동,6월,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
강원특별자치도,강릉시,노암동,7월,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
강원특별자치도,강릉시,노암동,8월,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
강원특별자치도,강릉시,노암동,9월,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
강원특별자치도,강릉시,노암동,10월,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
강원특별자치도,강릉시,노암동,11월,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
강원특별자치도,강릉시,노암동,12월,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
강원특별자치도,강릉시,대전동,3월,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
강원특별자치도,강릉시,대전동,6월,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
강원특별자치도,강릉시,대전동,7월,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
강원특별자치도,강릉시,대전동,8월,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
강원특별자치도,강릉시,대전동,9월,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
강원특별자치도,강릉시,대전동,10월,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
강원특별자치도,강릉시,대전동,12월,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
강원특별자치도,강릉시,병산동,4월,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
강원특별자치도,강릉시,병산동,8월,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
강원특별자치도,강릉시,사천면,1월,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
강원특별자치도,강릉시,사천면,2월,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
강원특별자치도,강릉시,사천면,3월,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
강원특별자치도,강릉시,사천면,4월,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
강원특별자치도,강릉시,사천면,5월,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
강원특별자치도,강릉시,사천면,7월,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
강원특별자치도,강릉시,사천면,8월,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
강원특별자치도,강릉시,사천면,9월,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
강원특별자치도,강릉시,성남동,2월,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
강원특별자치도,강릉시,성남동,7월,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
강원특별자치도,강릉시,성내동,3월,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
강원특별자치도,강릉시,성내동,4월,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
강원특별자치도,강릉시,성내동,5월,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
강원특별자치도,강릉시,성내동,10월,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
강원특별자치도,강릉시,성내동,12월,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
